,03/03/20,04/03/20,05/03/20,06/03/20,09/03/20,10/03/20,11/03/20,12/03/20,13/03/20,14/03/20,15/03/20
Andalucia,13,13,12,21,54,71,90,115,219,269,437
Aragon,0,0,1,6,13,38,45,64,80,80,147
Asturias,1,2,5,5,7,22,32,47,67,92,137
Baleares,2,5,6,6,11,13,16,22,30,28,28
Canarias,7,7,8,11,22,25,37,51,70,90,109
Cantabria,10,10,10,10,12,12,12,16,29,31,51
Castyilla La Mancha,7,12,13,15,26,39,71,115,194,289,401
Castilla y Leon,8,11,11,14,23,56,71,92,169,223,292
Cataluña,15,15,24,24,75,124,156,260,316,509,715
Ceuta,0,0,0,0,0,0,0,0,0,0,1
C. Valenciana,15,19,19,30,37,50,65,76,94,130,409
Extremadura,6,6,6,6,7,8,9,19,39,66,95
Galicia,0,1,1,3,6,22,39,35,85,115,195
Madrid,49,70,90,137,469,782,1024,1388,1990,2940,3544
Melilla,0,0,0,0,0,0,0,0,2,3,8
Murcia,0,0,0,0,4,9,11,26,35,47,71
Navarra,1,3,3,3,3,12,46,73,130,146,183
Pais Vasco,13,17,17,45,149,195,225,346,417,417,630
La rioja,3,7,11,29,81,144,179,205,243,278,300
Total,150,198,237,365,999,1622,2128,2950,4209,5753,7753
